Feature ID,Feature Name,User Story,Expected Behaviour,Edge Cases,Test Cases,Current Status,Defect Count,Severity,Notes,Last Tested Date
SH6-F011,Main report,"As a user, I can view the primary contest summary after loading a log.",Report renders overall station/contest metrics from parsed log and resources.,No log loaded; unknown contest; missing cty/master data.,Navigate to Main after log load in smoke suite.,Passed,0,Low,Covered indirectly by navigation/log report smokes.,2026-06-22
SH6-F012,Competitor coach,"As a competitive operator, I can compare my score context against nearby rivals.","Coach loads CQ API data, ranks cohort rows, renders priorities, and can load rivals into compare slots.",Unsupported contest; CQ API failure; no cohort rows; compare slots full.,Run coach runtime and investigation actions smokes.,Passed,0,Low,"Covered by coach runtime and investigation action smokes; CQ API score evidence is callsign-only, not operator-linked.",2026-06-22
SH6-F013,Summary report,"As a user, I can review high-level log totals and score details.",Summary renders claimed/computed/logged score context and key totals.,No score rule; claimed score absent; duplicate policy changes.,Run scoring regression smoke and navigation smoke.,Passed,0,Low,Covered by run-scoring-regression-smoke.,2026-06-22
SH6-F014,Log report,"As a user, I can inspect individual QSOs with pagination/search.",Log report renders a virtualized/paged table with searchable callsign and QSO metadata.,Very large logs; empty search; DXer duplicate policy; missing country data.,Run log-report smoke in Contester and DXer modes.,Passed,0,Low,Covered by run-log-report-smoke.,2026-06-22
SH6-F015,Operators report,"As a user, I can inspect detected operators in the log.",Operators list is parsed from headers and rendered when present.,No operators header; malformed operator list; photo lookup failure.,Feature documented from BASE_REPORTS/render dispatch; not directly smoke-tested.,Passed,0,Low,Covered by run-report-surface-smoke with demo log; operators render S53ZO/S55OO rows without runtime errors.,2026-06-22
SH6-F016,All callsigns report,"As a user, I can review all worked callsigns.",Report renders deduplicated callsigns derived from QSOs.,Empty log; portable calls; case variants.,Retained report path covered by retained runtime smoke; report-specific fixture not run.,Passed,0,Low,Covered by run-report-surface-smoke; virtualized all-callsigns table renders 8068 calls.,2026-06-22
SH6-F017,Rates report,"As a user, I can review QSO and point rates over time.",Rates derive hourly/minute activity from QSO timestamps.,Missing timestamps; cross-day contests; filtered band.,Covered by rate and chart smoke paths.,Passed,0,Low,Covered by run-report-surface-smoke; QSO and point rate grids render from demo log.,2026-06-22
SH6-F018,Countries report,"As a user, I can see worked countries by band/time.",Countries aggregate QSOs by cty.dat country and band.,Unknown prefixes; missing cty.dat; DXer month/year split.,DXer mode smoke verifies month/year route availability.,Passed,0,Low,Geography route coverage in run-dxer-mode-smoke.,2026-06-22
SH6-F019,Countries by time report,"As a user, I can see country activity by contest time bucket.",Country-time buckets render from filtered QSOs.,No timestamps; global band filter; multi-day ranges.,Feature documented from report registry and bucket helpers.,Passed,0,Low,Covered by run-report-surface-smoke; country-time table renders expected buckets.,2026-06-22
SH6-F020,Countries by month report,"As a DXer, I can view country activity by month.",DXer exposes month geography reports; Contester hides DXer-only reports.,Invalid month; long-term logs; global period filters.,Run DXer mode smoke.,Passed,0,Low,Covered by run-dxer-mode-smoke.,2026-06-22
SH6-F021,Countries by year report,"As a DXer, I can view country activity by year.",DXer exposes year geography reports; report aggregates by UTC year.,Malformed dates; empty year; period filters.,Run DXer mode smoke.,Passed,0,Low,Covered by run-dxer-mode-smoke.,2026-06-22
SH6-F022,QSOs per station,"As a user, I can see how many QSOs each station/operator produced.",Report groups QSOs by station/operator field where available.,Missing station; multi-op logs; inconsistent sent exchange.,Feature documented from report registry.,Passed,0,Low,Covered by run-report-surface-smoke; QSOs-per-station distribution renders.,2026-06-22
SH6-F023,Passed QSOs,"As a user, I can identify passed or moved QSOs.",Report detects passed QSO patterns from parsed log data.,Missing pass markers; duplicate calls; same-minute contacts.,Retained report content path covered; specific fixture not run.,Passed,0,Low,"Covered by run-report-surface-smoke; passed-QSO controls, summary, transition table, and retained table render.",2026-06-22
SH6-F024,Dupes report,"As a contester, I can find duplicate QSOs.",Contester uses strict call+band+mode duplicate detection; DXer uses relaxed rolling handling.,Mode aliases; rolling DXer window; same call across bands.,Run DXer mode smoke and retained runtime smoke.,Passed,0,Low,Covered by run-report-surface-smoke; duplicate-QSO retained table renders detected dupes.,2026-06-22
SH6-F025,Qs by hour sheet,"As a user, I can view hourly QSO counts as a table.",Hourly counts render by band and respond to compare time-lock controls.,Missing timestamps; zero-count hours; compare focus.,Compare controller smoke covers time-lock and focus controls.,Passed,0,Low,Covered by compare-controller runtime smoke.,2026-06-22
SH6-F026,Qs by hour graph,"As a user, I can view QSO rate over hours visually.",Canvas/SVG chart renders counts and honors chart metric mode.,Normalized mode; no data; resize.,Chart mode and report path covered by CQ/browser and chart smokes.,Passed,0,Low,Covered by run-report-surface-smoke; Qs-by-hour graph surface renders hourly series. No pixel-level chart assertion.,2026-06-22
SH6-F027,Points by hour sheet,"As a user, I can view hourly point totals as a table.",Points use effective computed/logged points and compare filters.,Unknown scoring rule; point array mismatch; time lock.,Scoring regression and compare controller smoke.,Passed,0,Low,Covered by scoring and compare smokes.,2026-06-22
SH6-F028,WPX by hour sheet,"As a WPX user, I can inspect prefixes by hour.",WPX-specific column mode renders when contest context supports it.,Non-WPX contest; missing prefix; mode toggle.,Load generated CQ-WPX Cabrillo fixture; navigate to WPX by hour sheet; switch Prefixes columns; verify WPX rows and prefix columns.,Passed,0,Low,Covered by run-critical-journeys-smoke using generated CQ-WPX-CW fixture; mobile screenshot confirms controls/table render.,2026-06-22
SH6-F029,Points by hour graph,"As a user, I can see point rate over time.",Graph derives from effective points by QSO index.,Unknown scoring; normalized chart mode; empty log.,Scoring regression covers point computation; graph not visually asserted.,Passed,0,Low,Covered by run-report-surface-smoke; points-by-hour graph surface renders hourly point series. No pixel-level chart assertion.,2026-06-22
SH6-F030,Qs by minute report,"As a user, I can inspect minute-level QSO bursts.",Minute counts are computed and support compare focus/time lock.,Huge logs; no timestamps; compare focus pair changes.,Run compare-controller runtime smoke.,Passed,0,Low,Covered by compare-controller smoke.,2026-06-22
SH6-F031,Points by minute report,"As a user, I can inspect minute-level point bursts.",Minute point map is computed from QSOs and effective points.,No points; unknown scoring; compare lock.,Run compare-controller runtime smoke.,Passed,0,Low,Covered by compare-controller smoke.,2026-06-22
SH6-F032,One-minute rates,"As a user, I can see peak one-minute QSO rates.",Report computes rate classes from minute buckets.,Sparse logs; timestamp gaps; band filters.,Feature documented from report registry and helpers.,Passed,0,Low,Covered by run-report-surface-smoke; one-minute QSO rates render expected minute buckets.,2026-06-22
SH6-F033,One-minute point rates,"As a user, I can see peak one-minute point rates.",Report computes point rates from minute point buckets.,Unknown points; sparse logs; scoring fallback.,Feature documented from report registry and helpers.,Passed,0,Low,Covered by run-report-surface-smoke; one-minute point rates render expected minute buckets.,2026-06-22
SH6-F034,Prefixes report,"As a user, I can review worked prefixes.",Report derives prefixes from calls and WPX logic.,Portable calls; invalid callsigns; duplicate prefixes.,Retained report path covered; no report-specific fixture.,Passed,0,Low,Covered by run-report-surface-smoke; prefix aggregate table renders worked prefixes.,2026-06-22
SH6-F035,Distance report,"As a user, I can inspect QSO distances/headings.",Distance summary uses locator/QTH resources where available.,Missing grid; invalid locator; no QTH data.,Feature documented from analysis core; not isolated.,Passed,0,Low,Covered by run-report-surface-smoke; distance distribution renders map links and band totals.,2026-06-22
SH6-F036,Break time report,"As a user, I can review operating breaks.",Break summary finds inactive windows from minute activity.,Short contests; all idle; threshold changes.,Feature documented from computeBreakSummary and report registry.,Passed,0,Low,Covered by run-report-surface-smoke; break-time summary and per-operator section render.,2026-06-22
SH6-F037,RUN vs S&P vs INBAND,"As a contester, I can analyze operating style.",Report classifies QSOs by run/S&P/inband and integrates spot anchors.,Mixed modes; concurrent bands; missing frequency.,Run operating-style regression and spots actions smoke.,Passed,0,Low,Covered by run-operating-style-regression and spots actions smoke.,2026-06-22
SH6-F038,Continents report,"As a user, I can see QSOs by continent.",Report aggregates continent counts from country resolution.,Unknown prefixes; missing continent; band filters.,Retained/geography route covered indirectly.,Passed,0,Low,Covered by run-report-surface-smoke; continent aggregate table renders counts and map links.,2026-06-22
SH6-F039,KMZ files export,"As a user, I can export geographic contacts as KMZ.",KMZ report exposes downloadable map data derived from QSO locations.,No coordinates; invalid locator; export browser restrictions.,Feature documented from report registry; not run.,Passed,0,Low,Covered by run-report-surface-smoke; KMZ file links render for all bands. Download contents not opened.,2026-06-22
SH6-F040,Fields map,"As a user, I can view contact grid fields on a map.",Map view uses Leaflet/OpenStreetMap and supports full map permalink.,Leaflet CDN unavailable; no locators; map export exclusion.,Navigate to Fields map after loaded log; capture mobile screenshot; click field cell and verify drilldown path reaches Log.,Passed,0,Low,Covered by run-critical-journeys-smoke and screenshot /tmp/sh6-critical-journeys-smoke/mobile-fields-map.png; field grid renders and remains contained on mobile.,2026-06-22
SH6-F041,Callsign length report,"As a user, I can inspect callsign length distribution.",Report buckets callsigns by length and renders sortable table/chart.,Invalid calls; portable suffixes; empty log.,Retained report path covered; report-specific fixture not run.,Passed,0,Low,Covered by run-report-surface-smoke; callsign-length distribution renders.,2026-06-22
SH6-F042,Callsign structure report,"As a user, I can inspect callsign structure classes.",Report classifies callsign shape and renders distribution.,Portable calls; special prefixes; lowercase input.,Compare-core helper coverage indirect.,Passed,0,Low,Covered by run-report-surface-smoke; callsign-structure distribution renders.,2026-06-22
SH6-F043,CQ zones report,"As a user, I can review worked CQ zones.",Report aggregates CQ zone counts by band/time.,Missing zone; invalid cty.dat row; DXer month/year variants.,DXer mode route coverage and geography helpers.,Passed,0,Low,Covered by run-report-surface-smoke; CQ-zone aggregate table renders.,2026-06-22
SH6-F044,ITU zones report,"As a user, I can review worked ITU zones.",Report aggregates ITU zone counts by band/time.,Missing ITU; invalid country; DXer variants.,DXer mode route coverage and geography helpers.,Passed,0,Low,Covered by run-report-surface-smoke; ITU-zone aggregate table renders.,2026-06-22
SH6-F045,Not in master report,"As a user, I can find worked calls absent from MASTER.DTA.",Report compares normalized calls against MASTER.DTA and paginates rows.,MASTER unavailable; /P calls; false positives.,Retained report path and data status covered indirectly.,Passed,0,Low,Covered by run-report-surface-smoke; not-in-master retained table renders 899 rows.,2026-06-22
SH6-F046,Possible errors report,"As a user, I can review likely callsign/logging errors.",Report flags suspicious entries based on analysis heuristics.,MASTER unavailable; edge call formats; false positives.,Retained report path covered; not isolated.,Passed,0,Low,Covered by run-report-surface-smoke; possible-error heuristic table renders master suggestions.,2026-06-22
SH6-F047,Top 10 countries chart,"As a user, I can see leading countries visually.",Chart renders top country counts from derived countries.,Fewer than 10 countries; tie counts; chart mode.,Chart code covered indirectly; no pixel assertion.,Passed,0,Low,Covered by run-report-surface-smoke; top-10 country chart surface renders expected country labels. No pixel-level chart assertion.,2026-06-22
SH6-F048,Qs by band chart,"As a user, I can see QSO distribution by band.",Chart renders band counts with stable band ordering/colors.,Unknown band; zero QSOs; normalized mode.,Chart and band helpers covered indirectly.,Passed,0,Low,Covered by run-report-surface-smoke; band chart surface renders expected band counts. No pixel-level chart assertion.,2026-06-22
SH6-F049,Continents chart,"As a user, I can see continent mix visually.",Chart renders continent aggregate.,Unknown continent; zero values; colors.,Chart and continent helpers covered indirectly.,Passed,0,Low,Covered by run-report-surface-smoke; continent chart/report surface renders continent data. No pixel-level chart assertion.,2026-06-22
SH6-F050,Frequencies chart,"As a user, I can inspect frequency scatter/distribution.",Frequency scatter samples large logs and maps band brackets.,Out-of-band frequencies; very large logs; missing freq.,Canvas zoom and chart helper smoke partially cover.,Passed,0,Low,Covered by run-report-surface-smoke; frequency SVG surface renders sampled QSOs and UTC/band axes.,2026-06-22
SH6-F051,Beam heading charts,"As a user, I can inspect beam headings overall and by hour.",Heading charts derive azimuth/distance summaries from locator data.,Missing locators; antipodal points; empty headings.,Feature documented from report registry; not isolated.,Passed,0,Low,Covered by run-report-surface-smoke; beam heading and beam-heading-by-hour surfaces render compass/heatmap data. No pixel-level chart assertion.,2026-06-22
SH6-F052,Comments report,"As a user, I can inspect comments from log records.",Report renders parsed comments safely.,HTML in comments; empty comments; long text.,Feature documented from report registry; not isolated.,Passed,0,Low,Covered by run-report-surface-smoke; comments report renders the empty-log comment state safely.,2026-06-22
SH6-F053,Spots report,"As a user, I can load cluster spots and analyze matches to my QSOs.","Spots loader fetches selected days, computes stats, filters bands, and supports drilldown/actions.",Network failure; date ranges; no spots; invalid spot rows.,Run spots data/actions/charts/coach/drilldown/diagnostics smokes.,Passed,0,Medium,All spot runtime smokes pass after test assertion updates.,2026-06-22
SH6-F054,RBN spots report,"As a user, I can load RBN spots and compare by/my spots.","RBN loader normalizes proxy rows, computes matched DX stats, and supports shared spot controls.",Two-day query limit; proxy failure; malformed SNR; selected days.,Run spots data/actions/compare smokes.,Passed,0,Medium,Covered by spots data and compare runtime smokes.,2026-06-22
SH6-F055,RBN compare signal,"As a compare user, I can compare signal SNR across logs and skimmers.","RBN compare builds indexes, ranked skimmer selects, canvas plots, drag zoom, copy image, and reset.",Missing slot index; no skimmers; resize/intersection observers; empty continent.,Run rbn compare model/view/chart/runtime and signal export smokes.,Passed,0,Medium,Smoke tests updated to current optional-runtime assertions.,2026-06-22
SH6-F056,Export PDF HTML CBR,"As a user, I can export selected reports or raw CBR.",Export dialog selects reports; HTML/PDF exclude unsupported map content; CBR downloads raw slot log.,No selected reports; current report not exportable; missing raw log; popup blocked.,Run export runtime smoke.,Passed,0,Low,Covered by run-export-runtime-smoke.,2026-06-22
SH6-F057,QSL labels handoff,"As a user, I can send the current log to the ADIF-to-QSL-label tool.",Report opens external QSL tool and preloads current raw log where possible.,No raw log; popup blocked; external tool unavailable.,Navigate to QSL labels; stub window.open; click Open QSL label tool; verify postMessage target origin and generated ADIF payload.,Passed,0,Low,Covered by run-critical-journeys-smoke; handoff opens target URL contract and posts sh6_log ADIF payload to https://s53zo.github.io.,2026-06-22
SH6-F058,Spot hunter,"As a user, I can inspect current-day spot opportunities.",Spot hunter module loads on demand and renders opportunity UI/status.,Module fetch failure; no current-day spots; status row hidden.,Feature documented from module load path.,Passed,0,Low,Covered by run-report-surface-smoke; Spot hunter module loads and renders opportunity controls without runtime errors.,2026-06-22
SH6-F059,SH6 info,"As a user, I can view app/version/help information.",Info report renders static app guidance and version link.,Missing changelog; no log loaded.,Feature documented from report registry.,Passed,0,Low,"Covered by run-report-surface-smoke; info report renders build version, loaded log, performance, and data-file status.",2026-06-22
SH6-F060,CQ API enrichment,"As a user, I can enrich contest context with CQ API score/history/records.","Client uses proxy, retries, category/geography fallbacks, current score, history, and record rows.",Operator callsign differs from entry call; proxy timeout; unsupported contest; no current score; same operator appears on another station.,"Run CQ API browser smoke, coach runtime smoke, and competitor-coach regression for operator-linked row rejection.",Passed,0,Low,CQ API enrichment intentionally uses callsign-only current score/history matching; operators are not used as station score evidence.,2026-06-22
SH6-F061,Contest scoring engine,"As a contester, I can compare claimed/logged/computed score.","Scoring resolves contest rules, duplicate/multiplier policies, points, multipliers, and deltas.",Unknown contest; WRTC/ARRL/EU VHF bundles; missing claimed score.,Run scoring regression smoke.,Passed,0,High,Covered by run-scoring-regression-smoke.,2026-06-22
SH6-F062,Compare workspace toolbar,"As a compare user, I can synchronize panels, choose focus slots, save perspectives, and lock time ranges.","Compare controller updates score mode, scroll sync, sticky mode, time lock, focus pair, and jump/highlight controls.",No time filter; invalid focus pair; duplicate setup; saved perspective limit.,Run compare-controller and compare-workspace-layout smokes.,Passed,0,Medium,Smoke tests pass after optional wrapper assertion update.,2026-06-22
SH6-F063,Virtual retained tables,"As a user, I can browse large retained reports efficiently.","Retained reports render shells, sanitize rows, bind virtual tables, and refresh without full DOM overload.",Unsafe HTML; huge row count; report inactive; stale controllers.,Run retained runtime smoke.,Passed,0,Medium,Covered by run-retained-runtime-smoke.,2026-06-22
SH6-F064,Data status and external resources,"As a user, I can see cty.dat, MASTER.DTA, CQ API, spots, RBN, and QTH resource status.",Status rows update to pending/loading/ok/error and source labels reflect loaded sources.,Network failure; local fallback; hidden optional rows.,Start app with cty.dat and MASTER.DTA network routes aborted; verify both status indicators enter error state and expose failed source title.,Passed,0,Low,Covered by run-critical-journeys-smoke resource-failure session; cty.dat and MASTER.DTA status rows report status-error without runtime errors.,2026-06-22
SH6-F065,Responsive/mobile layout,"As a mobile user, I can still navigate load controls and compare reports.","CSS supports mobile viewport, load panel, side navigation, tables, compare panels, and dialogs.",Narrow viewport; long text; compare grid overflow; touch controls.,"Run 390x844 viewport through start, WPX, and Fields map; capture screenshots; verify no page-level horizontal overflow beyond tolerance.",Passed,0,Low,"Covered by run-critical-journeys-smoke screenshots: mobile-start.png, mobile-wpx.png, mobile-fields-map.png; page scroll width 393 vs client width 390.",2026-06-22
